Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
112 Washington Pl APT 12G,Pittsburgh,PA,15219,40.439298,-79.992824,Condominium,2015,116100,1967,938,938,1.5,1,4,10/31/14,9,150000,154068,2124,144824,161771,164.25,1278,-43,971,1738,1.36,120.55,Central Business District,11420456,0
141 Ulysses St,Pittsburgh,PA,15211,40.433699,-80.012039,SingleFamily,2015,126500,1985,1507,1382,2,2,5,7/24/09,72,145120,156099,8974,143611,167026,112.95,1332,-37,1185,1758,0.96,117.19,Mount Washington,11363447,0
1695 Biltmore Ln,Pittsburgh,PA,15217,40.418755,-79.920481,SingleFamily,2015,592400,2013,5298,3392,3.5,5,7,9/20/13,22,695731,749699,10876,674729,787184,221.02,3230,-132,2584,4425,0.95,232.1,Squirrel Hill South,121886682,0
4011 Beechwood Blvd,Pittsburgh,PA,15217,40.426999,-79.936718,SingleFamily,2015,122100,1955,3238,1480,2.5,3,6,7/2/04,132,123500,166937,7169,158590,175284,112.8,1477,20,1182,1817,1,113.02,Greenfield,11539905,0
325 Conniston Ave,Pittsburgh,PA,15210,40.406943,-79.99904,SingleFamily,2015,66700,1950,6000,875,1,3,6,8/12/14,11,38100,76357,-5888,69485,83993,87.27,880,10,739,1126,1.01,86.77,Bon Air,11436913,0
1126 Milan Ave,Pittsburgh,PA,15226,40.393619,-80.013477,SingleFamily,2015,62700,1925,3600,864,1,2,6,4/17/02,159,49900,76361,-3417,64907,89342,88.38,862,5,741,1129,1,88.59,Brookline,11648906,0
375.5 Main Street,Pittsburgh,PA,15201,40.465917,-79.95543,SingleFamily,,,,,,2,4,,,,,185726,,128151,250730,,1488,,744,2411,,124.82,Central Lawrenceville,2102039589,11
439 S Pacific Ave,Pittsburgh,PA,15224,40.458371,-79.940568,SingleFamily,2015,191200,1936,4119,2176,1.5,4,7,,,,247770,25265,225471,262636,113.86,1830,69,1446,2214,0.84,135.39,Bloomfield,11524967,2
1910 Spring Garden Ave,Pittsburgh,PA,15212,40.46898,-79.985778,SingleFamily,2015,34600,1910,3223,1760,1,3,4,1/31/08,90,22660,59032,-122,50177,68477,33.54,930,45,697,1395,0.53,63.48,Spring Garden,11511235,0
5600 Munhall Rd APT 1005,Pittsburgh,PA,15217,40.433138,-79.926194,Condominium,2015,139500,1975,1100,1100,2,2,5,,,,204423,1925,194202,214644,185.84,1545,-18,1190,2101,1.4,132.31,Squirrel Hill South,11631792,2
1420 Beechview Ave,Pittsburgh,PA,15216,40.413421,-80.025169,VacantResidentialLand,2015,55100,1925,3000,2631,1.5,0,7,12/23/13,19,2051,,,,,,1067,-9,747,1515,0.41,,Beechview,11444735,4
416 Iberia St,Pittsburgh,PA,15211,40.424223,-80.000206,SingleFamily,2015,51000,1926,2613,1202,1,3,6,7/31/87,336,38900,81241,-94,73117,87740,67.59,1260,14,932,1550,1.05,64.48,Mount Washington,11517027,0
173 Watson Blvd,Pittsburgh,PA,15214,40.482446,-80.010067,SingleFamily,2015,50800,1936,2063,968,1,2,5,3/3/06,112,57000,67766,2987,60312,73187,70.01,837,6,670,1272,0.86,80.96,Perry North,11271007,0
4 Lowen St,Pittsburgh,PA,15211,40.429635,-80.01244,SingleFamily,2015,74100,1910,2236,844,1.5,2,4,6/7/13,25,97000,101744,6355,92587,110901,120.55,1159,28,869,1634,1.37,87.79,Mount Washington,11515591,0
4118 Winterburn Ave,Pittsburgh,PA,15207,40.424562,-79.940058,SingleFamily,2015,76900,1931,2548,848,1,2,5,5/30/07,98,102500,118708,7840,112773,124643,139.99,1198,69,863,1521,1.41,99.09,Greenfield,11540346,0
140 Eiler Ave,Pittsburgh,PA,15210,40.391016,-79.983899,SingleFamily,2015,69900,1950,5200,1276,1.5,3,6,3/8/07,100,50000,68918,14675,63405,73742,54.01,871,3,758,1359,0.68,79.13,Carrick,11647622,0
3022 Merwyn Ave,Pittsburgh,PA,15204,40.457785,-80.052283,SingleFamily,2015,15500,1900,2500,1819,1,3,6,10/13/10,57,3750,48918,2206,39624,55277,26.89,837,34,670,1046,0.46,58.44,Sheraden,11482784,0
5922 Howe St APT 302,Pittsburgh,PA,15232,40.452696,-79.925589,Condominium,2015,282600,1890,1402,1402,2,2,4,1/23/06,114,160000,333747,-22953,307047,373797,238.05,2423,-44,1745,3005,1.73,137.74,Shadyside,11628808,0
224 Hallock St,Pittsburgh,PA,15211,40.434176,-80.018515,Townhouse,2015,142500,2007,2670,1536,2.5,3,6,5/9/08,86,249900,220528,14377,196270,242581,143.57,1743,-11,1482,2214,1.13,126.52,Duquesne Heights,87988964,0
426 Glen Arden Dr,Pittsburgh,PA,15208,40.448486,-79.912147,SingleFamily,2015,457100,1934,11900,3738,4,5,10,2/7/07,101,620000,741845,47530,697334,823448,198.46,3342,46,2473,4111,0.89,221.98,Point Breeze,11287486,0
