Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
301 5th Ave APT 509,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,2015,302400,2008,1054,1054,1,1,3,4/29/09,75,349781,426551,-15999,400958,452144,404.7,1923,-24,1077,3077,1.82,221.82,Central Business District,92380541,0
5559 Hampton St,Pittsburgh,PA,15206,40.476168,-79.925778,SingleFamily,2015,312900,1920,7950,4114,3.5,6,8,11/10/98,200,177000,434728,-6266,399950,465159,105.67,2714,47,1493,3447,0.66,160.18,Highland Park,11620271,0
3840 Windgap Ave,Pittsburgh,PA,15204,40.458994,-80.077679,SingleFamily,2015,51000,1955,5200,992,1,3,5,,,,68596,10487,62422,75456,69.15,859,14,696,1177,0.87,79.86,Wind Gap,11592322,2
7044 Edgerton Ave,Pittsburgh,PA,15208,40.446212,-79.906807,SingleFamily,2015,193700,1925,5250,1312,1,3,7,3/21/12,40,164000,251975,-5592,236856,267094,192.05,1830,-36,1537,2233,1.39,137.69,Point Breeze,11288145,0
40 Bascom Ave,Pittsburgh,PA,15214,40.493588,-80.023064,SingleFamily,2015,85100,1930,4067,1700,1.5,3,7,,,,97872,-9972,89064,105702,57.57,1039,-4,810,1413,0.61,94.2,Perry North,11327984,2
232 45th St,Pittsburgh,PA,15201,40.471306,-79.958516,SingleFamily,2015,145000,1900,1819,1911,2.5,2,5,8/4/11,47,145000,207468,13703,195020,221991,108.57,1588,59,1286,1969,0.83,130.65,Central Lawrenceville,11512903,0
1101 Premier St,Pittsburgh,PA,15201,40.483383,-79.939831,SingleFamily,2015,111800,1940,3000,1204,2,3,6,5/11/12,38,110000,133414,3275,125409,140085,110.81,1238,-19,1089,1486,1.03,107.77,Stanton Heights,11275726,0
732 Maryland Ave,Pittsburgh,PA,15232,40.453052,-79.929389,SingleFamily,2015,262500,1903,4500,2402,2.5,4,10,8/13/03,143,147500,637603,103530,599347,669483,265.45,2587,41,2070,3415,1.08,246.46,Shadyside,11625282,0
528 Hastings St,Pittsburgh,PA,15206,40.448699,-79.915604,SingleFamily,2015,217300,1897,2400,1640,1.5,4,6,6/6/13,25,279000,282752,12039,248822,302545,172.41,2138,60,1710,2737,1.3,132.25,Point Breeze,11287530,0
2355 Rose Garden Rd,Pittsburgh,PA,15220,40.407275,-80.043166,SingleFamily,2015,121500,1955,7200,1784,2,4,8,,,,157916,2758,150020,168970,88.52,1287,71,811,1737,0.72,122.7,Banksville,11453187,2
141 45th St,Pittsburgh,PA,15201,40.473496,-79.961121,SingleFamily,,,,,,4,3,,,,,154919,,105345,202944,,1439,,935,2043,,107.66,Central Lawrenceville,2102141271,11
1672 Perrysville Ave,Pittsburgh,PA,15212,40.461021,-80.009406,SingleFamily,2012,31900,1900,1140,1008,1,1,6,3/25/98,208,26000,48419,0,41156,57619,48.03,880,-5,642,1223,0.87,55.02,Perry South,11387342,0
311 S Evaline St,Pittsburgh,PA,15224,40.461797,-79.941318,SingleFamily,2015,180000,1890,3638,2910,3.5,4,8,10/24/14,9,189000,357177,23181,335746,375036,122.74,2319,146,1716,2783,0.8,154.02,Bloomfield,11524321,0
2128 Pauline Ave,Pittsburgh,PA,15216,40.405093,-80.026685,SingleFamily,2015,77600,1932,2912,1969,2,4,6,,,,90873,-4113,82694,100869,46.15,1010,95,697,1333,0.51,89.97,Beechview,11446107,2
320 Fort Duquesne Blvd # 24BC,Pittsburgh,PA,15222,40.442485,-80.006935,Condominium,,,1964,,,3,2,,,,,246161,,226468,270777,,2124,,1126,2613,,115.9,Central Business District,2102146465,10
5025 5th Ave APT 3B,Shadyside,PA,15232,40.44836,-79.942092,Condominium,,,1951,,,2,3,,,,,293095,,263786,310681,,2198,,1912,2638,,133.35,Shadyside,2102146464,10
5124 Holyrood Rd,Pittsburgh,PA,15213,40.445385,-79.938386,SingleFamily,2015,437700,1950,12707,2463,4,4,7,5/19/99,194,356000,638659,-1991,593953,689752,259.3,3386,44,2573,4165,1.37,188.62,Squirrel Hill North,11529694,0
203 N Woodland Rd,Pittsburgh,PA,15232,40.451202,-79.92411,SingleFamily,2015,296400,1991,1833,2228,3,2,6,5/18/04,134,469000,607730,48204,571266,644194,272.77,2797,19,1874,3608,1.26,217.28,Squirrel Hill North,11629014,0
408 Zara St,Pittsburgh,PA,15210,40.415502,-79.995637,VacantResidentialLand,2010,5300,1911,5227,2816,,0,8,,,,,,,,,910,-7,601,1383,0.32,,Knoxville,11316741,7
4239 Upview Ter,Pittsburgh,PA,15201,40.478906,-79.945448,SingleFamily,2015,95000,1954,4284,1330,1.5,3,6,4/19/78,447,42000,168204,18635,151384,176614,126.47,1247,24,960,1534,0.94,134.89,Stanton Heights,11615370,0
524 Bellaire Ave,Pittsburgh,PA,15226,40.396543,-80.022646,Condominium,2015,70300,1935,3522,1064,1,2,5,6/15/07,97,71000,97616,6286,89807,103473,91.74,974,57,789,1266,0.92,100.22,Brookline,11566745,0
1621 Mcelhinny Ave,Pittsburgh,PA,15207,40.365908,-79.908193,SingleFamily,2015,79500,1952,4740,975,1.5,3,6,,,,74146,7947,64507,83044,76.05,873,3,751,1283,0.9,84.93,Lincoln Place,11352217,2
1125 Penn Ave # $15.00/SF,Pittsburgh,PA,15222,40.445499,-79.993263,SingleFamily,,,,,7800,,0,,,,,1395445,,1032629,1897805,178.9,1672,,1137,2876,0.21,834.6,Strip District,2102164146,11
415 Charles St,Pittsburgh,PA,15210,40.416636,-79.996268,MultiFamily2To4,2015,37700,1902,3750,2306,2,0,14,10/30/06,105,27700,71839,-1214,62500,79741,31.15,849,52,620,1367,0.37,84.62,Knoxville,11316041,0
314 Virginia Ave,Mount Washington,PA,15211,40.431486,-80.011324,SingleFamily,2015,53800,1915,3244,960,1,2,6,3/18/05,124,22000,81863,1959,68765,90868,85.27,1079,27,723,1349,1.12,75.87,Mount Washington,11515369,0
618 S Negley Ave,Pittsburgh,PA,15232,40.453979,-79.932801,SingleFamily,2015,327100,1910,1667,2018,2,2,5,9/17/07,94,397000,441320,-1267,410428,463386,218.69,2698,25,2239,3373,1.34,163.57,Shadyside,11625259,0
4243 Parkman Ave,Pittsburgh,PA,15213,40.448255,-79.957411,SingleFamily,2015,375400,1930,6921,2876,3.5,5,8,6/2/00,181,255000,596761,8529,566923,644502,207.5,3284,5,2529,3612,1.14,181.72,North Oakland,11407518,0
5847 Nicholson St,Pittsburgh,PA,15217,40.431766,-79.921158,MultiFamily2To4,2015,181000,1916,3504,2699,3,4,13,11/1/13,20,250000,298980,13327,272072,319909,110.77,1492,-60,1209,1984,0.55,200.39,Squirrel Hill South,11634908,0
715 Brookline Blvd,Pittsburgh,PA,15226,40.394727,-80.020834,MultiFamily2To4,2015,114000,1930,3600,2560,1,3,14,12/15/00,175,63863,134315,460,119540,147746,52.47,974,61,692,1383,0.38,137.9,Brookline,11566717,0
216 38th St,Pittsburgh,PA,15201,40.466335,-79.963996,VacantResidentialLand,,,,1611,,,0,,,,,,,,,,739,,628,1109,,,Lower Lawrenceville,2102183795,14
252 Sebring Ave,Pittsburgh,PA,15216,40.412774,-80.014979,SingleFamily,2015,51900,1960,3000,672,1,3,5,3/8/07,100,85000,77802,-280,70800,85582,115.78,894,47,760,1144,1.33,87.03,Beechview,11439937,0
921 N Saint Clair St,Pittsburgh,PA,15206,40.472675,-79.923133,MultiFamily2To4,2015,76500,1920,3880,2464,3,6,12,12/12/13,19,65100,173349,-25475,128278,214953,70.35,930,-21,716,1553,0.38,186.4,Highland Park,11620971,0
255 Homestead St,Pittsburgh,PA,15218,40.422373,-79.898707,SingleFamily,2015,129000,1900,7200,1650,1.5,2,5,9/6/06,106,113500,156543,-10302,147150,170632,94.87,1426,96,1098,1711,0.86,109.78,Swisshelm Park,11345098,0
812 Grandview Ave APT 3B,Pittsburgh,PA,15211,40.43629,-80.014724,Condominium,2015,712700,1980,2444,2444,4.5,3,6,7/10/85,360,12000,802340,-3885,746176,858504,328.29,3532,114,2543,4521,1.45,227.16,Mount Washington,11363312,0
5818 Hays St,Pittsburgh,PA,15206,40.468206,-79.92329,SingleFamily,2015,47900,1900,3100,2597,3.5,5,10,8/27/13,23,51500,132205,11456,107086,152036,50.91,978,83,616,1584,0.38,135.18,East Liberty,11623008,0
1331 Liverpool St,Pittsburgh,PA,15233,40.454909,-80.026269,MultiFamily2To4,2015,180100,1900,3049,3392,3.5,4,11,4/9/03,147,174000,266121,-17361,204913,298056,78.46,1300,122,689,1820,0.38,204.71,Manchester,11376338,0
5613 Howe St,Pittsburgh,PA,15232,40.45122,-79.931299,SingleFamily,2015,442600,1913,4869,3054,3.5,4,10,11/5/01,164,496700,655560,44127,609671,747338,214.66,3252,140,2504,4000,1.06,201.59,Shadyside,11628585,0
200 Pinecastle Ave,Pittsburgh,PA,15234,40.382514,-79.999301,SingleFamily,2015,102000,1972,5063,1276,1.5,4,7,6/25/04,133,85000,113462,6664,105520,121404,88.92,1159,59,811,1518,0.91,97.9,Overbrook,11305552,0
144 N Dithridge St APT 611,Pittsburgh,PA,15213,40.448247,-79.951144,Condominium,2015,151400,1940,2045,2045,2.5,3,5,11/22/99,188,145000,215495,10260,193946,232735,105.38,1736,45,1267,2257,0.85,124.13,North Oakland,11407728,0
616 Woodbourne Ave,Pittsburgh,PA,15226,40.393676,-80.023609,SingleFamily,2015,103200,1948,3600,1144,1,3,6,3/11/11,52,75000,95775,-4248,85240,107268,83.72,1096,-15,855,1392,0.96,87.39,Brookline,11652775,0
765 College Ave APT 306,Pittsburgh,PA,15232,40.453899,-79.927073,Condominium,,,1935,,,2,2,,,,,214620,-133,201743,225351,,1603,34,994,2244,,133.89,Shadyside,2141922266,8
5711 Howe St,Shadyside,PA,15232,40.451447,-79.930298,SingleFamily,,,,9147,,,0,,,,,532366,3066,489777,617545,,1610,-30,837,2367,,330.66,Shadyside,2112168929,9
2908 Smallman St,Pittsburgh,PA,15201,40.458599,-79.974411,SingleFamily,,,,,,,0,,,,,443273,-5911,412244,478735,,1544,21,772,2270,,287.09,Strip District,2122689950,10
5235 Gertrude St,Pittsburgh,PA,15207,40.405279,-79.941334,SingleFamily,2015,52000,1920,3450,2405,1,5,6,,,,74366,402,68417,81059,30.92,895,8,797,1289,0.37,83.09,Hazelwood,11550895,2
1218 Windermere Dr,Pittsburgh,PA,15218,40.422888,-79.902697,SingleFamily,2015,246200,1952,6900,1948,2.5,4,9,,,,315957,-2217,300159,331755,162.2,2362,66,1394,2882,1.21,133.77,Swisshelm Park,11290111,2
1605 Fallowfield Ave,Pittsburgh,PA,15216,40.410336,-80.02345,SingleFamily,2015,50000,1921,3000,1065,1,2,5,11/29/99,188,43200,69717,-31,59259,78780,65.46,874,26,734,1162,0.82,79.77,Beechview,11445526,0
353 S Highland Ave,Pittsburgh,PA,15206,40.455575,-79.924935,SingleFamily,2015,383800,1900,5250,2561,2.5,3,7,6/8/11,49,480000,492392,34544,453001,531783,192.27,2897,26,2549,3534,1.13,169.97,Shadyside,11624992,0
5805 5th Ave,Shadyside,PA,15232,40.450859,-79.92733,SingleFamily,,,1921,,,2.5,2,,,,,489691,29681,465206,514176,,2494,-10,1796,2893,,196.35,Shadyside,2113012601,8
109 Cedarbrook Dr,Pittsburgh,PA,15220,40.441605,-80.048845,SingleFamily,2015,101300,1966,6095,1244,2.5,3,7,10/20/76,465,44000,138824,-3581,131883,147153,111.59,1263,28,909,1692,1.02,109.92,Crafton Heights,11362093,0
46-48 Laclede St,Mt Washington,PA,15211,40.425029,-80.003318,MultiFamily2To4,,,1925,,,,0,,,,,75894,-149,62233,87278,,866,46,598,1204,,87.64,Mount Washington,2102239200,9
407 Merritt Ave,Pittsburgh,PA,15227,40.383482,-79.987301,SingleFamily,2015,49400,1927,3348,1276,1.5,3,6,2/28/13,29,25000,69665,-772,61305,77328,54.6,927,7,760,1363,0.73,75.15,Overbrook,11305671,0
110 Schenley Rd,Pittsburgh,PA,15217,40.439745,-79.937823,Condominium,2015,449400,1985,3604,2204,2.5,3,7,5/17/88,326,320000,630535,14046,599008,662062,286.09,3183,-88,2769,4361,1.44,198.09,Squirrel Hill North,11533992,0
211 Bailey Ave,Pittsburgh,PA,15211,40.427142,-80.002885,SingleFamily,2015,268000,1950,2066,2243,2.5,4,8,11/29/10,56,299000,378357,-2113,359439,397275,168.68,2670,58,2083,3204,1.19,141.71,Mount Washington,92380806,0
511 Brinwood Ave,Pittsburgh,PA,15227,40.393166,-79.978774,SingleFamily,2015,77700,1960,17520,1288,1.5,3,7,,,,98325,7404,88493,106191,76.34,1020,60,724,1275,0.79,96.4,Carrick,11644930,2
5731 Northumberland St,Pittsburgh,PA,15217,40.441579,-79.924301,SingleFamily,2015,363900,1907,4899,2919,3.5,5,8,3/21/11,52,355000,512289,17039,486675,537903,175.5,3049,42,2561,3659,1.04,168.02,Squirrel Hill North,11630824,0
5570 Centre Ave APT 101,Pittsburgh,PA,15232,40.455936,-79.934722,Condominium,2015,229800,2006,1308,1308,2,2,4,6/6/08,85,273000,334065,7487,314021,350768,255.4,2265,-5,1721,2809,1.73,147.49,Shadyside,87802108,0
2321 Potomac Ave,Pittsburgh,PA,15216,40.40534,-80.043868,SingleFamily,2015,75000,1900,65340,1392,1,2,6,3/9/06,112,65000,103403,-8775,88927,118913,74.28,1159,38,823,1391,0.83,89.22,Banksville,11453441,0
6417 Stanton Ave,Pittsburgh,PA,15206,40.469534,-79.912671,SingleFamily,2015,72900,1925,2805,1080,1,3,5,10/20/09,69,79000,124786,2002,102325,138512,115.54,1186,15,889,1483,1.1,105.22,Highland Park,11284239,0
1320 Milan Ave,Pittsburgh,PA,15226,40.393633,-80.009575,SingleFamily,2015,83800,1955,4444,1242,1.5,2,6,6/20/06,109,90000,101689,2232,95588,109824,81.88,1080,45,745,1296,0.87,94.16,Brookline,11649142,0
3760 & 3772 Colby St,Summer Hill,PA,15214,40.489654,-80.006721,SingleFamily,,,1950,65340,,1,3,,,,,136089,-1726,126563,142893,,1136,-43,829,1488,,119.8,Summer Hill,2102261077,7
6621 Darlington Rd,Pittsburgh,PA,15217,40.435904,-79.912567,SingleFamily,2015,374900,1920,5251,2352,3,5,9,5/2/03,146,349000,476264,23429,438163,500077,202.49,2665,-124,2399,3624,1.13,178.71,Squirrel Hill South,11289423,0
2926 Arlington Ave,Pittsburgh,PA,15210,40.417009,-79.966531,SingleFamily,2015,38500,1890,7510,1986,2,3,6,,,,60564,-24,52085,67832,30.5,917,-30,761,1467,0.46,66.05,Arlington,11308743,2
1788 Perrysville Ave,Pittsburgh,PA,15212,40.460419,-80.012653,SingleFamily,2015,34800,1920,3232,1154,1.5,2,5,1/3/84,378,11500,67157,4510,49025,83946,58.19,921,33,709,1225,0.8,72.92,Perry South,11387300,0
6327 Crombie St,Pittsburgh,PA,15217,40.4312,-79.916806,MultiFamily2To4,2015,150000,1920,2500,2003,,0,9,1/31/03,150,105000,264453,3093,245941,290898,132.03,1428,125,1014,1999,0.71,185.19,Squirrel Hill South,11635060,1
332 Winders,Greenfield,PA,15207,40.418857,-79.942359,SingleFamily,,,1940,,,2,3,,,,,190737,4299,158312,211718,,1350,10,810,2120,,141.29,Hazelwood,2102271336,8
1661 Jancey St,Pittsburgh,PA,15206,40.484232,-79.928455,SingleFamily,2015,50000,1930,1600,1080,1,2,5,4/2/03,147,25000,75480,13159,66422,83783,69.89,933,60,681,1269,0.86,80.9,Morningside,11278709,0
1219 Stock St,Pittsburgh,PA,15207,40.36608,-79.915112,SingleFamily,2015,60600,2001,4500,1352,2,3,6,6/5/07,97,80000,79272,6404,72138,86406,58.63,890,7,730,1237,0.66,89.07,Lincoln Place,11352138,0
5504 Howe St,Pittsburgh,PA,15232,40.450166,-79.933022,SingleFamily,2015,459900,1920,2424,3441,3,4,8,9/29/10,58,498462,639367,-2268,607399,671335,185.81,3107,102,2392,3822,0.9,205.78,Shadyside,11529355,0
6512 Martha St,Pittsburgh,PA,15206,40.486583,-79.930602,SingleFamily,2015,125500,1951,3733,1680,2,4,9,9/2/04,130,127000,156523,12487,144001,165914,93.17,1173,27,680,1666,0.7,133.44,Stanton Heights,11278275,0
119 Fitler St,Pittsburgh,PA,15210,40.417038,-79.970231,SingleFamily,2015,35700,1910,4000,1606,1,3,6,10/14/75,477,14700,48919,-196,42070,53322,30.46,903,-7,804,1156,0.56,54.17,Arlington,11308677,0
1022 Lapish Rd,Pittsburgh,PA,15212,40.487702,-80.030126,SingleFamily,2015,112300,1900,8721,2123,3.5,3,6,2/1/05,125,180000,187243,18122,162901,205967,88.2,1374,83,852,1800,0.65,136.28,Brighton Heights,11269762,0
618 Mellon St,Pittsburgh,PA,15206,40.469034,-79.925865,SingleFamily,2015,25000,1910,3240,2210,3,5,10,,,,107684,6721,86147,124913,48.73,909,82,600,1545,0.41,118.46,East Liberty,11622821,2
147 Labelle St,Pittsburgh,PA,15211,40.434903,-80.015633,SingleFamily,2015,62800,1925,2880,1020,1,3,6,,,,99051,4539,79241,113909,97.11,1167,-16,864,1587,1.14,84.88,Mount Washington,11363453,2
1025 Smithton Ave,Pittsburgh,PA,15212,40.473932,-80.025917,SingleFamily,2015,41800,1891,10693,952,1,2,5,4/16/12,39,1000,54361,476,49469,58710,57.1,823,0,716,1235,0.86,66.05,Marshall - Shadeland,11606390,0
916 Rossmore Ave,Pittsburgh,PA,15226,40.393804,-80.017323,SingleFamily,2015,110500,1929,3300,2184,1,4,6,11/14/14,8,46000,138313,3155,128631,146612,63.33,1184,35,876,1598,0.54,116.82,Brookline,11653026,0
38 Perryview Ave,Pittsburgh,PA,15214,40.494641,-80.023019,SingleFamily,2015,95400,1930,5600,1716,1.5,3,6,,,,115109,-10648,105900,124318,67.08,1162,-8,825,1638,0.68,99.06,Perry North,11327756,2
1233 Colescott St,Pittsburgh,PA,15205,40.434719,-80.048139,SingleFamily,2015,104800,1955,4680,1150,1.5,4,9,6/28/10,61,115000,128427,-1216,115584,134848,111.68,1187,30,748,1579,1.03,108.19,Westwood,11362727,0
1223 Itin St,Pittsburgh,PA,15212,40.462044,-79.991242,SingleFamily,2015,26100,1900,2266,1696,2,4,8,,,,55281,-1852,45883,63020,32.59,930,-15,688,1460,0.55,59.44,Spring Hill - City View,11394458,2
260 42nd St # 3,Pittsburgh,PA,15201,40.468872,-79.958511,Condominium,,,,,,1,1,,,,,,,,,,,,,,,,Central Lawrenceville,2102302868,19
260 42nd St # 4,Pittsburgh,PA,15201,40.468872,-79.958511,Condominium,,,,,,1,2,,,,,270942,14824,214044,357643,,1113,-60,779,1480,,243.43,Central Lawrenceville,2102302867,9
701 N Saint Clair St,Pittsburgh,PA,15206,40.469254,-79.92523,SingleFamily,2015,142500,1929,3929,3091,2,5,9,5/2/94,254,54000,164811,3982,146682,194477,53.32,1109,108,732,1453,0.36,148.61,East Liberty,11622858,0
46 W Mcintyre Ave,Pittsburgh,PA,15214,40.468852,-80.011054,SingleFamily,2015,33100,1940,3143,880,1,3,6,3/4/93,268,33000,51132,5437,44485,55734,58.1,818,-12,720,1284,0.93,62.51,Perry South,11505429,0
1245 Island Ave,Pittsburgh,PA,15212,40.46282,-80.026683,SingleFamily,2015,47500,1939,1545,1071,2,2,6,6/28/93,265,29000,58817,9479,51759,65875,54.92,981,24,706,1305,0.92,59.96,California-Kirkbride,11499368,0
300 N Woodland Rd APT 2A,Shadyside,PA,15232,40.451198,-79.923027,Condominium,,,,,,3,3,,,,,694954,46265,583761,820046,,2576,-26,1700,3040,,269.78,Squirrel Hill North,2102302864,9
46 W Mcintyre Ave,Pittsburgh,PA,15214,40.468852,-80.011054,SingleFamily,2015,33100,1940,3143,880,1,3,6,3/4/93,268,33000,51132,5437,44485,55734,58.1,818,-12,720,1284,0.93,62.51,Perry South,11505429,0
260 42nd St # 3,Pittsburgh,PA,15201,40.468872,-79.958511,Condominium,,,,,,1,1,,,,,,,,,,,,,,,,Central Lawrenceville,2102302868,19
3008 Marshall Rd,Pittsburgh,PA,15214,40.476236,-80.015245,SingleFamily,2015,69800,1925,4919,1776,1,3,6,3/30/11,52,24900,134283,9367,124883,145026,75.61,1134,-25,953,1542,0.64,118.42,Perry North,11609812,0
6731 Reynolds St,Pittsburgh,PA,15206,40.450723,-79.914273,SingleFamily,2015,165800,1908,2616,1620,2.5,3,6,7/25/12,36,257000,348563,1029,303250,376448,215.16,2201,212,1651,2553,1.36,158.37,Point Breeze,11287065,0
625 Herschel St,Pittsburgh,PA,15220,40.437924,-80.0411,SingleFamily,2015,86000,1944,5060,2109,2,3,5,,,,92410,-221,73004,109044,43.82,1142,34,788,1690,0.54,80.92,Elliott,11362665,2
1236 Windermere Dr,Pittsburgh,PA,15218,40.422517,-79.902235,SingleFamily,2015,200000,1951,12600,2011,2,4,7,,,,327139,-3235,310782,343496,162.67,2241,27,1501,2913,1.11,145.98,Swisshelm Park,11290108,2
144 N Dithridge St APT 409,Pittsburgh,PA,15213,40.448104,-79.950938,Condominium,2015,124000,1940,1557,1557,1,2,4,11/5/97,212,35000,148271,640,133444,161615,95.23,1346,-15,1144,1952,0.86,110.16,North Oakland,11407783,0
1114 Lincoln Ave,Pittsburgh,PA,15206,40.464311,-79.899545,SingleFamily,2015,24700,1900,2613,1218,2,4,6,,,,38806,14,34537,43463,31.86,861,25,611,1300,0.71,45.07,Homewood North,11285514,2
2874 Sanborn St,Pittsburgh,PA,15204,40.451345,-80.057046,SingleFamily,2015,61800,1925,3000,1144,1,3,6,9/1/06,106,79000,83092,7311,75614,88908,72.63,929,27,715,1189,0.81,89.44,Crafton Heights,11479164,0
5906 Douglas St,Pittsburgh,PA,15217,40.433077,-79.919559,SingleFamily,2015,196000,1910,4350,2407,4,5,9,,,,297718,6064,261992,324513,123.69,2244,70,1212,2783,0.93,132.67,Squirrel Hill South,11635025,2
206-208 N Linden Ave,Point Breeze,PA,15208,40.454219,-79.908515,MultiFamily2To4,,,1930,,,2,4,,,,,167560,-341,157506,182640,,1675,-56,1038,2261,,100.04,Point Breeze North,2102324112,8
1125 Highwood St,Pittsburgh,PA,15212,40.468064,-80.026239,SingleFamily,2015,46700,1946,1928,1120,1,3,6,3/22/93,268,39000,52565,1873,45732,58347,46.93,810,-8,705,1312,0.72,64.9,Marshall - Shadeland,11498696,0
2947 Sacramento Ave,Pittsburgh,PA,15204,40.457386,-80.0503,SingleFamily,2015,51000,1900,2482,1663,2,4,6,12/6/04,127,26500,55861,785,49158,60330,33.59,899,6,800,1196,0.54,62.14,Sheraden,11483302,0
525 S Lang Ave,Pittsburgh,PA,15208,40.44546,-79.906115,SingleFamily,2015,187100,1915,2500,1820,1.5,4,6,,,,301493,-5851,280388,325612,165.66,2148,54,1697,2792,1.18,140.36,Point Breeze,11288436,2
18 Rosemont Ln,Pittsburgh,PA,15217,40.421781,-79.915952,SingleFamily,2015,473700,1994,9615,2974,3.5,3,9,2/9/07,101,330000,595584,-11309,553893,720657,200.26,3308,-34,2646,4300,1.11,180.04,Squirrel Hill South,11290004,0
964 Ringgold St,Pittsburgh,PA,15220,40.444173,-80.048529,SingleFamily,2015,80800,1920,6860,1504,1,3,6,,,,83140,-10286,73163,98937,55.28,1045,-43,846,1411,0.69,79.56,Crafton Heights,11366844,2
300 Cola St,Pittsburgh,PA,15203,40.429335,-80.001514,SingleFamily,2015,203100,1899,7463,1586,3,3,6,8/7/14,11,115000,337697,-2970,310681,357959,212.92,2231,68,1785,2833,1.41,151.37,Mount Washington,11515913,0
1707 Wharton St,Pittsburgh,PA,15203,40.430743,-79.981689,Condominium,,,2003,,,1,2,,11/20/09,68,350000,360593,5918,328140,382229,,1697,51,1188,2512,,212.49,Southside Flats,2131836814,6
5618 Woodmont St,Pittsburgh,PA,15217,40.441768,-79.926799,SingleFamily,2015,501000,1902,5640,4336,3.5,7,14,7/6/93,264,145000,660021,733,620420,706222,152.22,2399,151,1152,3359,0.55,275.12,Squirrel Hill North,11630638,0
1357 Hawthorne St,Pittsburgh,PA,15201,40.482775,-79.936411,SingleFamily,2015,86800,1930,3600,966,1,3,6,10/1/07,93,123711,124458,13101,116991,130681,128.84,1144,54,938,1396,1.18,108.79,Stanton Heights,11275883,0
1214 James St,Pittsburgh,PA,15212,40.45735,-80.001661,SingleFamily,2015,58800,1905,1350,2360,2,4,10,4/21/14,15,40000,96015,-2764,76812,116178,40.68,1152,-3,737,1682,0.49,83.35,East Allegheny,11388914,0
357 44th St,Pittsburgh,PA,15201,40.469021,-79.956023,SingleFamily,2015,94600,1900,2160,2848,2,3,8,3/24/94,256,53000,151037,3915,110257,184265,53.03,1288,50,876,2164,0.45,117.26,Central Lawrenceville,11513601,0
301 5th Ave APT 520,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,2015,362600,2009,1284,1284,2,2,4,7/31/09,72,391918,487494,-8806,463119,511869,379.67,2545,-11,1451,3181,1.98,191.55,Central Business District,92380469,0
604 Middle St,Pittsburgh,PA,15212,40.453358,-79.998909,SingleFamily,2015,21100,1900,804,1283,2,2,4,4/15/14,15,15000,86082,1115,60257,117072,67.09,1151,-1,898,1669,0.9,74.79,East Allegheny,11395496,0
1409 Monterey St,Pittsburgh,PA,15212,40.456776,-80.013623,SingleFamily,2015,77600,1880,1190,1284,1,2,4,,,,124952,3211,102461,141196,97.31,1263,-35,846,1680,0.98,98.93,Central Northside,11388193,2
1843 Woodcove Pl,Pittsburgh,PA,15216,40.408766,-80.036375,SingleFamily,2015,115600,1957,6720,955,1.5,3,5,,,,132714,982,124751,144658,138.97,1197,2,958,1484,1.25,110.87,Banksville,11453300,2
5110 Stanton Ave,Pittsburgh,PA,15201,40.478256,-79.955421,SingleFamily,,,,,,3,3,,,,,164785,,140067,184559,,1449,,869,2101,,113.72,Upper Lawrenceville,2102439164,11
217 S Lang Ave,Pittsburgh,PA,15208,40.448373,-79.904706,SingleFamily,2015,225400,1963,4460,2460,3,4,7,,,,476583,43449,414627,519475,193.73,2538,38,2030,3249,1.03,187.78,Point Breeze,11287734,2
2437 Rose Garden Rd,Pittsburgh,PA,15220,40.408036,-80.044886,SingleFamily,2015,166900,1963,6000,1764,2.5,4,7,2/3/00,185,39390,187150,-4765,175921,202122,106.09,1753,-7,1297,2261,0.99,106.76,Banksville,11453173,0
358 Lamarido St,Pittsburgh,PA,15226,40.400107,-80.015978,SingleFamily,2015,97300,1917,3000,1336,1,3,6,,,,117141,-4199,110113,126512,87.68,1201,-5,1009,1501,0.9,97.54,Brookline,11562057,2
14 Fairfield Ct,Pittsburgh,PA,15201,40.482821,-79.934736,SingleFamily,2015,102500,1960,4122,1188,1,3,6,,,,154459,2634,145191,162182,130.02,1237,4,965,1435,1.04,124.87,Stanton Heights,11275845,2
501 Grandview Ave # 4002,Mt Washington,PA,15211,40.434784,-80.012184,Condominium,,,,,,2,2,,,,,730833,39557,577358,869691,,2144,-166,1136,3002,,340.87,Mount Washington,2113871964,9
85 Pius St,Pittsburgh,PA,15203,40.42468,-79.981669,SingleFamily,2015,56600,1900,2000,882,1.5,2,4,1/13/06,114,123950,131901,17573,118711,138496,149.55,1172,25,984,1653,1.33,112.54,Southside Slopes,11291792,0
57TH Street Motors 5700 Butler St,Pittsburgh,PA,15201,40.485065,-79.946022,VacantResidentialLand,,,,,5115,,0,,,,,,,,,,1004,-6,683,1606,0.2,,Stanton Heights,2102457749,13
